run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
f638e4a73267,4,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0419921,0.215,0,0.518919,0.00251512,0.651207,0.15737,2834.22,7.08556,2.55439,1.89028,0.0447556,0.0169201,0.0843907,0.262367,0.655916
67e9c31d1603,5,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0409506,0.1925,0,0.505519,0.00254545,0.662031,0.0586317,2717.72,6.79429,2.21897,1.43972,0.0413573,0.0202855,0.0180994,0.231248,0.57812
e7f5c2cca31b,6,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0364882,0.195,0,0.522077,0.00256641,0.650693,0.150369,2874.59,7.18648,1.53616,1.08807,0.0371604,0.0164227,0.0734651,0.235174,0.587934
bad34e756beb,7,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.041975,0.2225,0,0.525326,0.00253329,0.655182,0.130778,2810.83,7.02707,2.14857,1.58517,0.0427793,0.019085,0.0366185,0.237268,0.593169
946082aa8f7f,8,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0487151,0.205,0,0.505061,0.00255504,0.651028,0.0618453,2750.58,6.87645,2.52242,1.45591,0.0496756,0.0297247,0.0334879,0.233544,0.583861
a44ec415c4f7,9,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0379251,0.225,0,0.523911,0.002563,0.652928,0.135766,2762.95,6.90738,1.62943,1.13917,0.0381771,0.0176649,0.0174889,0.237175,0.592937
214bad134346,10,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0397466,0.2,0,0.525512,0.00262377,0.651038,0.0776798,2808.36,7.0209,2.65187,1.84095,0.0408823,0.0139852,0.0440877,0.233146,0.582866
9e2243f7644f,11,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0379239,0.2075,0,0.512361,0.00265017,0.644635,0.00548101,2750.22,6.87555,2.2591,1.67256,0.0380967,0.0150938,0.030967,0.235222,0.588055
e27f6d6ce455,12,0.008,labdesktop,2026-09-20T09:56:30+00:00,1073b69d29e5,0.008,0.0373677,0.21,0,0.533405,0.00255807,0.658099,0.161229,2818.7,7.04674,1.88154,1.54294,0.0382896,0.016194,0.0493402,0.264454,0.661136
445ecf925b9c,13,0.008,labdesktop,2026-09-20T09:56:30+00:00,1073b69d29e5,0.008,0.0408512,0.1975,0,0.510291,0.00258778,0.650026,0.0888508,2791,6.9775,1.81699,1.28933,0.0415408,0.0169428,0.0222673,0.237177,0.592942
f34db425cf82,14,0.008,labdesktop,2026-09-20T09:56:30+00:00,1073b69d29e5,0.008,0.0408811,0.2225,0,0.522213,0.00256918,0.655932,0.148178,2707.72,6.76931,2.24684,2.04152,0.043146,0.0150108,0.0682823,0.272524,0.68131
